med,sort,lat,lon
4690221,Городские поликлиники,55.715939,37.889924
4690222,Городские поликлиники,55.725849,37.80687
4690223,Городские поликлиники,55.74263,37.875027
4690224,Городские поликлиники,55.681389,37.661377
4690225,Городские поликлиники,55.724891,37.653102
4690226,Городские поликлиники,55.686032,37.695184
4690227,Городские поликлиники,55.714593,37.628632
4690228,Городские поликлиники,55.696447,37.622507
4690229,Городские поликлиники,55.727021,37.632743
4690230,Городские поликлиники,55.740695,37.575111
4690231,Городские поликлиники,55.721398,37.583562
4690232,Городские поликлиники,55.739089,37.605326
4690233,Городские поликлиники,55.755008,37.784994
4690234,Городские поликлиники,55.754131,37.823479
4690235,Городские поликлиники,55.740116,37.760898
4690236,Городские поликлиники,55.756445,37.807381
4690237,Городские поликлиники,55.678238,37.448927
4690238,Городские поликлиники,55.661939,37.762758
4690239,Городские поликлиники,55.621124,37.593123
4690240,Городские поликлиники,55.766548,37.586171
4690241,Городские поликлиники,55.680284,37.523456
4690242,Городские поликлиники,55.674115,37.532812
4690243,Городские поликлиники,55.697398,37.554229
4690244,Городские поликлиники,55.672502,37.555806
4690245,Городские поликлиники,55.733566,37.680554
4690246,Городские поликлиники,55.754554,37.647103
4690247,Городские поликлиники,55.738822,37.690276
4690248,Городские поликлиники,55.779105,37.708161
4690249,Городские поликлиники,55.978929,37.190609
4690250,Городские поликлиники,55.980467,37.161107
4690251,Городские поликлиники,55.994613,37.225388
4690252,Городские поликлиники,56.001787,37.204864
4690253,Городские поликлиники,55.714281,37.77573
4690254,Городские поликлиники,55.874164,37.634666
4690255,Городские поликлиники,55.814037,37.579769
4690256,Городские поликлиники,55.861055,37.616691
4690257,Городские поликлиники,55.571683,37.565457
4690258,Городские поликлиники,55.54528,37.51596
4690259,Городские поликлиники,55.857203,37.587206
4690260,Городские поликлиники,55.502817,37.583463
4690261,Городские поликлиники,55.574621,37.582202
4690262,Городские поликлиники,55.550575,37.568144
4690263,Городские поликлиники,55.603743,37.711829
4690264,Городские поликлиники,55.601221,37.740719
4690265,Городские поликлиники,55.621787,37.719138
4690266,Городские поликлиники,55.713729,37.88524
4690267,Городские поликлиники,55.734056,37.861017
4690268,Городские поликлиники,55.715264,37.854314
4690269,Городские поликлиники,55.760875,37.833272
4690270,Городские поликлиники,55.741877,37.86887
4690271,Городские поликлиники,55.809923,37.814177
4690272,Городские поликлиники,55.723471,37.400617
4690273,Городские поликлиники,55.816571,37.802992
4690274,Городские поликлиники,55.551473,37.553489
4690275,Городские поликлиники,55.776544,37.82897
4690276,Городские поликлиники,56.006133,37.798999
4690277,Городские поликлиники,55.797425,37.81162
4690278,Городские поликлиники,55.885235,37.597669
4690279,Городские поликлиники,55.757896,37.536096
4690280,Городские поликлиники,55.901855,37.577726
4690281,Городские поликлиники,55.896093,37.607647
4690282,Городские поликлиники,55.896891,37.628976
4690283,Городские поликлиники,55.907478,37.55231
4690284,Городские поликлиники,55.923859,37.541592
4690285,Городские поликлиники,55.620513,37.592617
4690286,Городские поликлиники,55.629186,37.596934
4690287,Городские поликлиники,55.74837,37.423698
4690288,Городские поликлиники,55.762423,37.405963
4690289,Городские поликлиники,55.784176,37.352739
4690290,Городские поликлиники,55.743194,37.408265
4690291,Городские поликлиники,55.676831,37.500228
4690292,Городские поликлиники,55.71255,37.514147
4690293,Городские поликлиники,55.678566,37.448328
4690294,Городские поликлиники,55.656523,37.4705
4690295,Городские поликлиники,55.776014,37.630012
4690296,Городские поликлиники,55.867195,37.474142
4690297,Городские поликлиники,55.855209,37.500978
4690298,Городские поликлиники,55.838384,37.490928
4690299,Городские поликлиники,55.873971,37.493402
4690300,Городские поликлиники,55.68707,37.85394
4690301,Городские поликлиники,55.735886,37.751498
4690302,Городские поликлиники,55.695506,37.8157
4690303,Городские поликлиники,55.70843,37.807929
4690304,Городские поликлиники,55.683541,37.916926
4690305,Городские поликлиники,55.641113,37.768872
4690306,Городские поликлиники,55.615261,37.74781
4690307,Городские поликлиники,55.664505,37.769612
4690308,Городские поликлиники,55.868619,37.551375
4690309,Городские поликлиники,55.637493,37.695512
4690310,Городские поликлиники,55.70213,37.681359
4690311,Городские поликлиники,55.868418,37.551536
4690312,Городские поликлиники,55.666024,37.753326
4690313,Городские поликлиники,55.670207,37.769711
4690314,Городские поликлиники,55.651594,37.746973
4690315,Городские поликлиники,55.640427,37.670682
4690316,Городские поликлиники,55.734735,37.862401
4690317,Городские поликлиники,55.602772,37.660706
4690318,Городские поликлиники,55.580101,37.667332
4690319,Городские поликлиники,55.799956,37.727421
4690320,Городские поликлиники,55.822252,37.755218
4690321,Городские поликлиники,55.816883,37.713058
4690322,Городские поликлиники,55.736888,37.529692
4690323,Городские поликлиники,55.710151,37.394444
4690324,Городские поликлиники,55.712764,37.479383
4690325,Городские поликлиники,55.725617,37.561481
4690326,Городские поликлиники,55.750084,37.581254
4690327,Городские поликлиники,55.785325,37.520771
4690328,Городские поликлиники,55.803396,37.496805
4690329,Городские поликлиники,55.599253,37.532521
4690330,Городские поликлиники,55.600533,37.526539
4690331,Городские поликлиники,55.694061,37.741865
4690332,Городские поликлиники,55.714485,37.738739
4690333,Городские поликлиники,55.715713,37.746334
4690334,Городские поликлиники,55.789694,37.69478
4690335,Городские поликлиники,55.790213,37.774929
4690336,Городские поликлиники,55.797298,37.395042
4690337,Городские поликлиники,55.809607,37.398303
4690338,Городские поликлиники,55.720442,37.581328
4690339,Городские поликлиники,55.806193,37.455763
4690340,Городские поликлиники,55.803338,37.487826
4690341,Городские поликлиники,55.702674,37.687501
4690342,Городские поликлиники,55.677714,37.726796
4690343,Городские поликлиники,55.777201,37.672666
4690344,Городские поликлиники,55.737981,37.616412
4690345,Городские поликлиники,55.610759,37.539511
4690346,Городские поликлиники,55.655664,37.568883
4690347,Городские поликлиники,55.688774,37.582067
4690348,Городские поликлиники,55.72327,37.822561
4690349,Городские поликлиники,55.738998,37.829876
4690350,Городские поликлиники,55.709969,37.779052
4690351,Городские поликлиники,55.749464,37.812839
4690352,Городские поликлиники,55.7476,37.797096
4690353,Городские поликлиники,55.755476,37.783494
4690354,Городские поликлиники,55.643358,37.540534
4690355,Городские поликлиники,55.648359,37.517757
4690356,Городские поликлиники,55.623072,37.500788
4690357,Городские поликлиники,55.640887,37.477021
4690358,Городские поликлиники,55.887435,37.518215
4690359,Городские поликлиники,55.878531,37.506803
4690360,Городские поликлиники,55.686032,37.695184
4690361,Городские поликлиники,55.678679,37.701888
4690362,Городские поликлиники,55.83353,37.449434
4690363,Городские поликлиники,55.83353,37.449434
4690364,Городские поликлиники,55.778233,37.467846
4690365,Городские поликлиники,55.777442,37.488689
4690366,Городские поликлиники,55.57774,37.658784
4690367,Городские поликлиники,55.801587,37.613936
4690368,Городские поликлиники,55.829689,37.597398
4690369,Городские поликлиники,55.663499,37.526606
4690370,Городские поликлиники,55.722193,37.596758
4690371,Городские поликлиники,55.647882,37.517845
4690372,Городские поликлиники,55.654485,37.579185
4690373,Городские поликлиники,55.655338,37.597771
4690374,Городские поликлиники,55.640887,37.477021
4690375,Городские поликлиники,55.631651,37.522519
4690376,Городские поликлиники,55.709157,37.811793
4690377,Городские поликлиники,55.725236,37.776801
4690378,Городские поликлиники,55.765346,37.71864
4690379,Городские поликлиники,55.519598,37.351325
4690380,Городские поликлиники,55.872857,37.710942
4690381,Городские поликлиники,55.735112,37.751058
4690382,Городские поликлиники,55.901838,37.574624
4690383,Городские поликлиники,55.878354,37.580599
4690384,Городские поликлиники,55.923859,37.541592
4690385,Городские поликлиники,55.907478,37.55231
4690386,Городские поликлиники,55.701153,37.779479
4690387,Городские поликлиники,55.893957,37.604482
4690388,Городские поликлиники,55.534629,37.524006
4690389,Городские поликлиники,55.542407,37.553363
4690390,Городские поликлиники,55.537028,37.577196
4690391,Городские поликлиники,55.502985,37.581549
4690392,Городские поликлиники,55.736411,37.475441
4690393,Городские поликлиники,55.550575,37.568144
4690394,Городские поликлиники,55.548985,37.534702
4690395,Городские поликлиники,55.814746,37.714057
4690396,Городские поликлиники,55.899275,37.618373
4690397,Городские поликлиники,55.893453,37.592869
4690398,Городские поликлиники,55.825058,37.657394
4690399,Городские поликлиники,55.751416,37.50191
4690400,Городские поликлиники,55.72124,37.431575
4690401,Городские поликлиники,55.714384,37.617079
4690402,Городские поликлиники,55.723537,37.401413
4690403,Городские поликлиники,55.874539,37.564624
4690404,Городские поликлиники,55.870913,37.537893
4690405,Городские поликлиники,55.889258,37.560772
4690406,Городские поликлиники,55.864071,37.557721
4690407,Городские поликлиники,55.880074,37.492342
4690408,Городские поликлиники,55.87783,37.540928
4690409,Городские поликлиники,55.31841,37.18228
4690410,Городские поликлиники,55.212943,37.073234
4690411,Городские поликлиники,55.417584,37.403569
4690412,Городские поликлиники,55.486006,37.51011
4690413,Городские поликлиники,55.325618,37.348897
4690414,Городские поликлиники,55.475004,37.294074
4690415,Городские поликлиники,55.472656,37.30006
4690416,Городские поликлиники,55.564129,37.477738
4690417,Городские поликлиники,55.465063,36.941163
4690418,Городские поликлиники,55.59687,37.345815
4690419,Городские поликлиники,55.591608,37.373127
4690420,Городские поликлиники,55.604131,37.168851
4690421,Городские поликлиники,55.59568,37.208072
4690422,Городские поликлиники,55.593552,37.107536
4690423,Городские поликлиники,55.548031,37.322923
4690424,Городские поликлиники,55.548135,37.321636
4690425,Городские поликлиники,55.660194,37.613875
4690426,Городские поликлиники,55.654472,37.768944
4690427,Городские поликлиники,55.637405,37.802925
4690428,Городские поликлиники,55.801206,37.72292
4690429,Городские поликлиники,55.747862,37.424316
4690430,Городские поликлиники,55.70167,37.777005
4690431,Городские поликлиники,55.861483,37.607986
4690432,Городские поликлиники,55.488076,37.502255
4690433,Городские поликлиники,55.776161,37.829245
4690434,Городские поликлиники,55.639363,37.365096
4690435,Городские поликлиники,55.639368,37.338857
4690436,Городские поликлиники,55.649731,37.734058
4690437,Городские поликлиники,55.686494,37.590934
4690438,Городские поликлиники,55.775538,37.597562
4690439,Городские поликлиники,55.733318,37.715502
4690440,Городские поликлиники,55.448766,37.511275
4690441,Городские поликлиники,55.86704,37.657505
4690442,Городские поликлиники,55.691991,37.71983
4690443,Городские поликлиники,55.677912,37.724645
4690444,Городские поликлиники,55.629186,37.676679
4690445,Городские поликлиники,55.970915,37.173071
4690446,Городские поликлиники,56.000887,37.204441
4690447,Городские поликлиники,55.412997,37.182679
4690448,Городские поликлиники,55.802101,37.541683
4690449,Городские поликлиники,55.798872,37.580729
4690450,Городские поликлиники,55.655387,37.596859
4690451,Городские поликлиники,55.870785,37.604945
4690452,Городские поликлиники,55.881924,37.640475
4690453,Городские поликлиники,55.864508,37.617939
4690454,Городские поликлиники,55.719613,37.735028
4690455,Городские поликлиники,55.54068,37.487654
4690456,Городские поликлиники,55.770221,37.625084
4690457,Городские поликлиники,55.71598,37.846685
4690458,Городские поликлиники,55.523662,37.457205
47026,Стоматологические поликлиники,55.86158,37.687046
470223,Стоматологические поликлиники,55.65114,37.61751
4702182,Стоматологические поликлиники,55.694005,37.71435
4702103,Стоматологические поликлиники,55.646265,37.383281
4702227,Стоматологические поликлиники,55.78002,37.664299
4702249,Стоматологические поликлиники,55.754888,37.795389
47032,Городские поликлиники,55.515752,37.528341
47035,Городские поликлиники,55.551055,37.327514
47039,Городские поликлиники,55.833409,37.446778
470312,Городские поликлиники,55.832964,37.649127
470314,Городские поликлиники,55.758852,37.822132
470316,Городские поликлиники,55.650021,37.579802
470317,Городские поликлиники,55.494045,37.523789
470322,Городские поликлиники,55.859724,37.542502
470324,Городские поликлиники,55.483095,37.550937
470329,Городские поликлиники,55.734386,37.414437
470333,Городские поликлиники,55.79209,37.339141
470336,Городские поликлиники,55.81473,37.567959
470339,Городские поликлиники,55.653138,37.427215
470345,Городские поликлиники,55.674768,37.56623
470349,Городские поликлиники,55.428357,37.269318
470350,Городские поликлиники,55.718161,37.738238
470355,Городские поликлиники,55.752754,37.394454
470358,Городские поликлиники,55.850453,37.709029
470360,Городские поликлиники,55.511058,37.324664
470361,Городские поликлиники,55.500127,37.331477
470362,Городские поликлиники,55.702386,37.63851
470363,Городские поликлиники,55.9273,37.388452
470365,Городские поликлиники,55.49594,37.334212
470381,Городские поликлиники,55.523008,37.513909
470386,Городские поликлиники,55.514948,37.289812
470399,Городские поликлиники,55.671401,37.757023
470388,Городские поликлиники,55.846728,37.450884
470390,Городские поликлиники,55.784819,37.325988
470391,Городские поликлиники,55.807171,37.536437
470392,Городские поликлиники,55.625853,37.341992
470396,Городские поликлиники,55.744459,37.496316
470397,Городские поликлиники,55.692312,37.506442
470398,Городские поликлиники,55.687904,37.45478
4703102,Городские поликлиники,55.840565,37.575681
4703105,Городские поликлиники,55.668914,37.507335
4703108,Городские поликлиники,55.716182,37.846694
4703110,Городские поликлиники,55.866931,37.367189
4703111,Городские поликлиники,55.856357,37.413307
4703113,Городские поликлиники,55.745364,37.762218
4703115,Городские поликлиники,55.814235,37.809998
4703121,Городские поликлиники,55.776057,37.483276
4703128,Городские поликлиники,55.619592,37.47239
4703134,Городские поликлиники,55.566639,37.290163
4703135,Городские поликлиники,55.850768,37.523359
4703136,Городские поликлиники,55.573457,37.281077
4703138,Городские поликлиники,55.755345,37.770866
4703139,Городские поликлиники,55.71032,37.94837
4703141,Городские поликлиники,55.656514,37.386901
4703142,Городские поликлиники,55.978386,37.167602
4703143,Городские поликлиники,55.82311,37.421316
4703152,Городские поликлиники,55.852486,37.387674
4703149,Городские поликлиники,55.87686,37.516106
4703150,Городские поликлиники,55.841569,37.543419
4703154,Городские поликлиники,55.78242,37.461614
4703157,Городские поликлиники,55.654623,37.579021
4703161,Городские поликлиники,55.695037,37.651728
4703162,Городские поликлиники,55.863657,37.517448
4703165,Городские поликлиники,55.682143,37.607816
4703166,Городские поликлиники,55.853155,37.657328
4703167,Городские поликлиники,55.688469,37.602844
4703168,Городские поликлиники,55.688739,37.559943
4703170,Городские поликлиники,55.719794,37.864829
4703172,Городские поликлиники,55.873917,37.577619
4703173,Городские поликлиники,55.671557,37.60726
4703177,Городские поликлиники,55.860673,37.645483
4703181,Городские поликлиники,55.799462,37.817793
4703184,Городские поликлиники,55.607199,37.407369
4703185,Городские поликлиники,55.752462,37.682852
4703190,Городские поликлиники,55.827416,37.761566
4703191,Городские поликлиники,55.804778,37.790448
4703193,Городские поликлиники,55.798214,37.767405
4703214,Городские поликлиники,55.686399,37.627241
4703195,Городские поликлиники,55.750935,37.686584
4703196,Городские поликлиники,55.655077,37.560592
4703197,Городские поликлиники,55.612822,37.474048
4703200,Городские поликлиники,55.39949,37.367688
4703202,Городские поликлиники,55.386725,37.406825
4703203,Городские поликлиники,55.412727,37.184815
4703204,Городские поликлиники,55.545656,37.486275
4703205,Городские поликлиники,55.565042,37.489401
4703206,Городские поликлиники,55.592143,37.451215
4703208,Городские поликлиники,55.721664,37.462596
4703209,Городские поликлиники,55.697422,37.761794
4703210,Городские поликлиники,55.730483,37.715814
4703213,Городские поликлиники,55.709963,37.778955
4703252,Городские поликлиники,55.748244,37.791642
4703215,Городские поликлиники,55.703902,37.739273
4703217,Городские поликлиники,55.644166,37.70647
4703220,Городские поликлиники,55.588128,37.607476
4703223,Городские поликлиники,55.591663,37.644767
4703225,Городские поликлиники,55.474553,37.536608
4703226,Городские поликлиники,55.624628,37.651109
4703253,Городские поликлиники,55.681535,37.752828
4703239,Городские поликлиники,55.817806,37.756413
4703240,Городские поликлиники,55.806946,37.763653
4703241,Городские поликлиники,55.806956,37.722812
4703243,Городские поликлиники,55.662928,37.736898
4703244,Городские поликлиники,55.593369,37.202432
4703245,Городские поликлиники,55.605023,37.168364
4703246,Городские поликлиники,55.588267,37.160195
4703247,Городские поликлиники,55.721064,37.770546
4703248,Городские поликлиники,55.719466,37.803318
4703251,Городские поликлиники,55.725033,37.404751
4703254,Городские поликлиники,55.723327,37.899416
4703264,Городские поликлиники,55.371509,37.214889
4703262,Городские поликлиники,55.57873,37.418046
4703265,Городские поликлиники,55.800908,37.598713
4703266,Городские поликлиники,55.607228,37.723075
4703267,Городские поликлиники,55.643126,37.632304
4703270,Городские поликлиники,55.782186,37.545738
4703273,Городские поликлиники,55.76428,37.728905
4703280,Городские поликлиники,55.52645,37.214879
4703290,Городские поликлиники,55.560397,37.492645
4703291,Городские поликлиники,55.758228,37.507901
4703294,Городские поликлиники,55.76331,37.709512
4703306,Городские поликлиники,55.605306,37.371281
4703311,Городские поликлиники,55.820578,37.443899
4703319,Городские поликлиники,55.637454,37.308359
4703330,Городские поликлиники,55.475446,37.292113
