starion,lat,lon
Авиамоторная,55.7539271,37.718992
Автозаводская,55.7073446,37.6577684
Академическая,55.6878077,37.5735148
Александровский сад,55.7524027,37.6086825
Алексеевская,55.80781315,37.63873998474395
Алма-Атинская,55.6327995,37.765935
Алтуфьево,55.89792215,37.5873577
Аннино,55.5825315,37.5965311
Арбатская,55.752095,37.6069779
Аэропорт,55.8003966,37.5331501
Бабушкинская,55.8696342,37.6641097
Багратионовская,55.7437316,37.497737
Баррикадная,55.76113355,37.579295203544234
Бауманская,55.7730392,37.6805494
Беговая,55.7737161,37.5466565
Беломорская,55.8649644,37.4748773
Белорусская,55.776702,37.583575
Беляево,55.6427774,37.5256804
Бибирево,55.894728,37.6061515
Библиотека имени Ленина,55.7512323,37.6101708
Битцевский парк,55.6002393,37.5563789
Борисово,55.6333039,37.7437524
Боровицкая,55.7509718,37.607057
Боровское шоссе,55.6477505,37.3704228
Ботанический сад,55.84484725,37.63824367436966
Братиславская,55.659739,37.7506688
Бульвар адмирала Ушакова,55.5454337,37.5432114
Бульвар Дмитрия Донского,55.5692452,37.5768693
Бульвар Рокоссовского,55.8146824,37.73434
Бунинская аллея,55.5381467,37.5165467
Бутырская,55.8133726,37.6025285
Варшавская,55.6533344,37.6195024
ВДНХ,55.8339464,37.621803221637926
Верхние Лихоборы,55.8561131,37.5613445
Владыкино,55.8471996,37.589899
Водный стадион,55.8400589,37.4867105
Войковская,55.819052,37.4980181
Волгоградский проспект,55.7252386,37.6868906
Волжская,55.6908257,37.7531007
Волоколамская,55.8355134,37.3822424
Воробьевы горы,55.7044118,37.53405312284268
Выставочная,55.7500874,37.5413666
Выхино,55.7156444,37.8179229
Говорово,55.6595871,37.4173114
Деловой центр,55.7491138,37.5391788
Динамо,55.7897397,37.558208
Дмитровская,55.8065606,37.5819074
Добрынинская,55.729108049999994,37.62431110386264
Домодедовская,55.6108547,37.7187413
Достоевская,55.781477,37.6150777
Дубровка,55.7192085,37.6755406
Жулебино,55.685438,37.8562939
Зябликово,55.6122352,37.745179
Измайловская,55.7877328,37.7816023
Калужская,55.657091,37.5405263
Кантемировская,55.6357353,37.6565408
Каховская,55.6529025,37.5984294
Каширская,55.6549932,37.6488095
Киевская,55.74430005,37.56537509645834
Китай-город,55.7556518,37.6335649
Кожуховская,55.7075865,37.6846176
Коломенская,55.6784809,37.6639248
Коммунарка,55.5605675,37.4680062
Комсомольская,55.7752083,37.6560339
Коньково,55.6331469,37.5189769
Косино,55.7034168,37.8510317
Котельники,55.661668,37.8673073
Красногвардейская,55.613694,37.7444351
Краснопресненская,55.761142199999995,37.5773206766727
Красносельская,55.780356,37.6676557
Красные ворота,55.7690244,37.6489874
Крестьянская застава,55.7331695,37.6674776
Кропоткинская,55.7454302,37.603807
Крылатское,55.7565949,37.4081393
Кузнецкий мост,55.7607671,37.6261664
Кузьминки,55.698921,37.771549
Кунцевская,55.7306795,37.4460224
Курская,55.7571978,37.6593319
Кутузовская,55.7399173,37.5340531
Ленинский проспект,55.7076167,37.5862116
Лермонтовский проспект,55.7016254,37.8519732
Лесопарковая,55.5820975,37.5768918
Лефортово,55.757401,37.704933
Ломоносовский проспект,55.7071424,37.5162362
Лубянка,55.7599174,37.6278517
Лухмановская,55.7085042,37.9010161
Люблино,55.6757211,37.7619581
Марксистская,55.7413164,37.6535345
Марьина роща,55.7955236,37.6163058
Марьино,55.6500158,37.7431467
Маяковская,55.7701709,37.5950872
Медведково,55.8871767,37.66155
Международная,55.7483053,37.5342309
Менделеевская,55.7808046,37.6020501
Минская,55.7247884,37.4968443
Митино,55.8457543,37.3622259
Мичуринский проспект,55.6882968,37.4851908
Молодежная,55.7407572,37.4169385
Мякинино,55.8080061,37.3757915
Нагатинская,55.6829727,37.6224144
Нагорная,55.6719433,37.6102741
Нахимовский проспект,55.6626511,37.6056223
Некрасовка,55.7042481,37.9262423
Нижегородская,55.7317169,37.7297964
Новогиреево,55.751769,37.8167454
Новокосино,55.7450867,37.8637729
Новокузнецкая,55.7414344,37.6292018
Новопеределкино,55.639625,37.3551039
Новослободская,55.7798525,37.6034748
Новоясеневская,55.6009942,37.554139
Новые Черемушки,55.6702787,37.5546984
Озерная,55.6705052,37.4487297
Окружная,55.8460256,37.5738294
Окская,55.718342,37.7817628
Октябрьская,55.7297787,37.6093994
Октябрьское поле,55.7935152,37.493524449999995
Ольховая,55.568621,37.4593593
Орехово,55.6131433,37.6949724
Отрадное,55.8646371,37.6044745
Охотный ряд,55.7577671,37.6164974
Павелецкая,55.7323172,37.6381483
Парк культуры,55.7355094,37.59427638611516
Парк Победы,55.7361688,37.5179675
Партизанская,55.788503,37.7509929
Первомайская,55.7947265,37.7993959
Перово,55.7511973,37.7864823
Петровский парк,55.7919222,37.5570925
Петровско-Разумовская,55.8346874,37.5748248
Печатники,55.6934907,37.726952
Пионерская,55.7359875,37.4671358
Планерная,55.8606544,37.4365264
Площадь Ильича,55.7471964,37.6831971
Площадь Революции,55.7566536,37.6218637
Полежаевская,55.7775087,37.5192899
Полянка,55.7381678,37.6171996
Пражская,55.6123741,37.6045238
Преображенская площадь,55.7963698,37.7153466
Прокшино,55.5862179,37.4338591
Пролетарская,55.731857,37.6658787
Проспект Вернадского,55.6772263,37.5060642
Проспект Мира,55.7796332,37.6317532
Профсоюзная,55.6779304,37.5629043
Пушкинская,55.7654281,37.6074165
Пятницкое шоссе,55.856143,37.3542024
Раменки,55.7018348,37.5041069
Рассказовка,55.6340295,37.3350858
Речной вокзал,55.8550132,37.4762129
Рижская,55.792504449999996,37.63616861085677
Римская,55.7463418,37.683251
Румянцево,55.6329543,37.4416052
Рязанский проспект,55.716947,37.7933151
Савеловская,55.7924879,37.5888159
Саларьево,55.621922,37.4241868
Свиблово,55.8552129,37.652706
Севастопольская,55.6526736,37.598434
Селигерская,55.8666119,37.5471803
Семеновская,55.7833072,37.7212818
Серпуховская,55.7279529,37.6248289
Славянский бульвар,55.7295963,37.4707878
Смоленская,55.747394,37.5818245
Сокол,55.805267,37.5150534
Сокольники,55.7888058,37.6802842
Солнцево,55.649569,37.3911002
Спартак,55.8183044,37.4357519
Спортивная,55.723391500000005,37.56422741173708
Сретенский бульвар,55.7669878,37.6400865
Стахановская,55.7270259,37.7532528
Строгино,55.8013351,37.4030525
Студенческая,55.7388299,37.5484101
Сухаревская,55.7729551,37.6312038
Сходненская,55.8504805,37.4397738
Таганская,55.741665,37.6513234
Тверская,55.7648953,37.606313
Театральная,55.7575071,37.6191912
Текстильщики,55.7088138,37.7315039
Теплый Стан,55.6188619,37.5082183
Технопарк,55.6936232,37.6644353
Тимирязевская,55.8171256,37.5763885
Третьяковская,55.7412838,37.6273084
Тропарево,55.6458332,37.4724773
Трубная,55.7691136,37.6195511
Тульская,55.7086649,37.6228172
Тургеневская,55.766492,37.637467
Тушинская,55.8265293,37.4369761
Улица  года,55.7648611,37.5613413
Улица академика Янгеля,55.5949862,37.6004358
Улица Горчакова,55.5416949,37.530718
Улица Дмитриевского,55.7102061,37.8798924
Улица Скобелевская,55.5481082,37.5546254
Улица Старокачаловская,55.5689553,37.5766521
Университет,55.6926632,37.5332847
Филатов луг,55.6015282,37.4074265
Филевский парк,55.7395085,37.4833717
Фили,55.7461266,37.5148273
Фонвизинская,55.822916,37.5876371
Фрунзенская,55.7268793,37.57833
Ховрино,55.8781525,37.4808537
Хорошевская,55.7766946,37.5191367
Царицыно,55.6214814,37.669238
Цветной бульвар,55.7708721,37.6179101
ЦСКА,55.786561,37.5332007
Черкизовская,55.8038807,37.7450321
Чертановская,55.6404584,37.60664659595033
Чеховская,55.7648327,37.609087
Чистые пруды,55.7658711,37.639028
Чкаловская,55.7567019,37.6569978
Шаболовская,55.7199872,37.6076956
Шелепиха,55.7573064,37.525668
Шипиловская,55.6210274,37.7436392
Шоссе Энтузиастов,55.7575686,37.7494868
Щелковская,55.8093389,37.7986397
Щукинская,55.8084614,37.46469802621059
Электрозаводская,55.7817132,37.7037878
Юго-Восточная,55.7050362,37.8189764
Юго-Западная,55.6636469,37.4832189
Южная,55.622256,37.6092188
Ясенево,55.6063062,37.533407
